0.0,6e-01,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
0.6,0.0,0.6666666666666666,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0
0.0,0.7,0.16666666666666666,0.0,0.7142857142857143,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7142857142857143,0.0,0.36363636363636365,0.36363636363636365,0.1,0.125,0.0,0.0,0.0
0.0,0.0,0.16666666666666666,0.16666666666666666,0.36363636363636365,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666
0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1,0.0,0.5714285714285714,0.0,0.5,0.5,0.2,0.0
0.0,0.0,0.0,0.0,0.125,0.3333333333333333,0.2857142857142857,0.5,0.0,0.14285714285714285,0.0,0.3333333333333333
0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285
0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.42857142857142855,0.0,0.6666666666666666
0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.0
