0.0,5e-01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.5,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
0.2,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855
0.0,0.2857142857142857,0.0,0.0,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4444444444444444,0.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.2857142857142857,0.0,0.0,0.0
0.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.42857142857142855
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.42857142857142855,0.16666666666666666
0.5,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.16666666666666666,0.0,0.0
